@relation articleComparer

@attribute inLinkGoogleMeasure numeric
@attribute inLinkIntersection numeric
@attribute inLinkVectorMeasure numeric
@attribute outLinkGoogleMeasure numeric
@attribute outLinkIntersection numeric
@attribute outLinkVectorMeasure numeric
@attribute relatedness numeric

@data
0.542276,0.012585,0,0,0,0,0.677
0.631763,0.030004,0,0,0,0,0.735
0.604333,0.021062,0,0,0,0,0.746
0.575033,0.019777,0,0,0,0,0.762
0.561802,0.029539,0,0,0,0,0.758
0.555963,0.021604,0,0,0,0,0.577
0.564314,0.022415,0,0,0,0,0.631
0.56717,0.016926,0,0,0,0,0.75
0.697707,0.104058,0,0,0,0,0.677
0.515936,0.017681,0,0,0,0,0.742
0.499531,0.00632,0,0,0,0,0.685
0.760061,0.069403,0,0,0,0,0.619
0.674478,0.041082,0,0,0,0,0.592
0.528836,0.011294,0,0,0,0,0.662
0.403894,0.006157,0,0,0,0,0.681
0.61242,0.022157,0,0,0,0,0.708
0.437371,0.005329,0,0,0,0,0.808
0.318198,0.002048,0,0,0,0,0.162
0,0.000157,0,0,0,0,0.131
0,0,0,0,0,0,0.092
0.613393,0.015453,0,0,0,0,0.181
0.428179,0.004319,0,0,0,0,0.669
0.583694,0.023151,0,0,0,0,0.746
0.5843,0.02193,0,0,0,0,0.812
0.415823,0.008389,0,0,0,0,0.773
0.597602,0.014541,0,0,0,0,0.915
0,0,0,0,0,0,0.031
0.270272,0.001142,0,0,0,0,0.023
0.648362,0.035032,0,0,0,0,0.858
0.936502,0.362903,0,0,0,0,0.592
0.340047,0.005375,0,0,0,0,0.669
0.694085,0.109816,0,0,0,0,0.846
0.645799,0.054108,0,0,0,0,0.765
0.35119,0.001681,0,0,0,0,0.162
0.478562,0.004859,0,0,0,0,0.944
0.430099,0.005551,0,0,0,0,0.862
0.487311,0.046686,0,0,0,0,0.681
0.491753,0.039268,0,0,0,0,0.663
0.513065,0.004845,0,0,0,0,0.756
0.384675,0.002326,0,0,0,0,0.673
0.575064,0.020327,0,0,0,0,0.765
0.598465,0.036305,0,0,0,0,0.838
0.409492,0.008072,0,0,0,0,0.738
0.217017,0.000415,0,0,0,0,0.619
0.320006,0.003064,0,0,0,0,0.673
0.422025,0.008982,0,0,0,0,0.792
0.525012,0.016062,0,0,0,0,0.812
0.802586,0.173463,0,0,0,0,0.735
0.412795,0.00476,0,0,0,0,0.488
0.464962,0.011639,0,0,0,0,0.554
0.805716,0.107463,0,0,0,0,0.846
0.769387,0.06747,0,0,0,0,0.813
0.305196,0.001396,0,0,0,0,0.304
0.357399,0.001318,0,0,0,0,0.131
0.415188,0.002424,0,0,0,0,0.596
0.600853,0.012411,0,0,0,0,0.687
0.64627,0.026485,0,0,0,0,0.785
0.3442,0.001232,0,0,0,0,0.265
0.671289,0.03533,0,0,0,0,0.91
0.662934,0.021277,0,0,0,0,0.879
0.57347,0.022789,0,0,0,0,0.752
0.349473,0.002466,0,0,0,0,0.71
0.498931,0.009056,0,0,0,0,0.738
0.573045,0.010381,0,0,0,0,0.269
0.337917,0.002051,0,0,0,0,0.5
0.31794,0.002351,0,0,0,0,0.208
0.341943,0.001796,0,0,0,0,0.442
0.545755,0.011502,0,0,0,0,0.438
0.28912,0.000851,0,0,0,0,0.185
0.392862,0.00262,0,0,0,0,0.308
0.355992,0.005029,0,0,0,0,0.092
0.432392,0.007691,0,0,0,0,0.315
0,0,0,0,0,0,0.054
0.212182,0.000825,0,0,0,0,0.208
0,0,0,0,0,0,0.054
0.541283,0.00932,0,0,0,0,0.842
0.597602,0.014541,0,0,0,0,0.908
0.707152,0.051282,0,0,0,0,0.904
0.644338,0.024452,0,0,0,0,0.827
0.598566,0.018226,0,0,0,0,0.757
0.416104,0.001312,0,0,0,0,0.729
0.5843,0.02193,0,0,0,0,0.85
0.666442,0.028902,0,0,0,0,0.773
0.465396,0.005274,0,0,0,0,0.565
0.122102,0.000371,0,0,0,0,0.331
0.696942,0.044696,0,0,0,0,0.8
0.677475,0.037325,0,0,0,0,0.8
0.57351,0.014587,0,0,0,0,0.708
0.514192,0.014033,0,0,0,0,0.685
0.521771,0.012146,0,0,0,0,0.7
0.364562,0.002543,0,0,0,0,0.477
0.536021,0.01122,0,0,0,0,0.562
0.699541,0.043285,0,0,0,0,0.587
0.618183,0.037212,0,0,0,0,0.808
0.540809,0.017963,0,0,0,0,0.7
0.531426,0.011923,0,0,0,0,0.685
0.516602,0.017273,0,0,0,0,0.742
0.426041,0.00462,0,0,0,0,0.658
0.410746,0.009115,0,0,0,0,0.642
0.621795,0.039873,0,0,0,0,0.821
0.590908,0.024149,0,0,0,0,0.769
0.52375,0.016396,0,0,0,0,0.723
0.618019,0.038362,0,0,0,0,0.671
0.420728,0.003063,0,0,0,0,0.558
0.643208,0.042902,0,0,0,0,0.748
0.78084,0.112127,0,0,0,0,0.845
0.67873,0.04153,0,0,0,0,0.806
0.707748,0.076684,0,0,0,0,0.808
0.751845,0.104267,0,0,0,0,0.802
0.720891,0.061752,0,0,0,0,0.811
0.593077,0.019474,0,0,0,0,0.792
0.637251,0.035189,0,0,0,0,0.794
0.310477,0.001341,0,0,0,0,0.385
0.20834,0.000606,0,0,0,0,0.281
0.559022,0.020015,0,0,0,0,0.665
0,0,0,0,0,0,0.604
0.492091,0.003486,0,0,0,0,0.658
0.718676,0.034043,0,0,0,0,0.685
0,0,0,0,0,0,0.292
0,0,0,0,0,0,0.215
0.615272,0.012107,0,0,0,0,0.725
0.419345,0.001527,0,0,0,0,0.5
0.411077,0.00134,0,0,0,0,0.59
0.609819,0.023952,0,0,0,0,0.742
0.526525,0.013081,0,0,0,0,0.727
0,0,0,0,0,0,0.181
0.540108,0.008717,0,0,0,0,0.506
0.4656,0.007313,0,0,0,0,0.509
0.445301,0.006998,0,0,0,0,0.678
0.404091,0.00232,0,0,0,0,0.606
0.506033,0.010342,0,0,0,0,0.694
0.430559,0.003833,0,0,0,0,0.831
0.529859,0.017912,0,0,0,0,0.294
0.448587,0.007798,0,0,0,0,0.563
0.393032,0.001297,0,0,0,0,0.816
0.45535,0.004219,0,0,0,0,0.753
0.551566,0.00907,0,0,0,0,0.456
0.398672,0.002215,0,0,0,0,0.634
0.381329,0.001183,0,0,0,0,0.656
0,0,0,0,0,0,0.238
0,0,0,0,0,0,0.222
0.862629,0.235239,0,0,0,0,0.866
0.378031,0.00371,0,0,0,0,0.447
0.491636,0.002445,0,0,0,0,0.534
0.37572,0.002532,0,0,0,0,0.369
0.213233,0.000833,0,0,0,0,0.3
0.440011,0.004416,0,0,0,0,0.813
0.657065,0.031361,0,0,0,0,0.622
0.142012,0.002173,0,0,0,0,0.65
0.479334,0.014878,0,0,0,0,0.391
0.371834,0.002474,0,0,0,0,0.256
0,0,0,0,0,0,0.3
0,0,0,0,0,0,0.563
0.504969,0.007262,0,0,0,0,0.759
0.304209,0.001299,0,0,0,0,0.316
0.423082,0.008098,0,0,0,0,0.663
0.40448,0.001366,0,0,0,0,0.475
0.480229,0.006048,0,0,0,0,0.369
0.403133,0.001522,0,0,0,0,0.656
0.638035,0.011696,0,0,0,0,0.588
0.369518,0.001045,0,0,0,0,0.594
0.427114,0.007935,0,0,0,0,0.703
0.511188,0.01106,0,0,0,0,0.547
0,0,0,0,0,0,0.497
0.309843,0.001813,0,0,0,0,0.5
0.292415,0.001055,0,0,0,0,0.519
0.583387,0.016004,0,0,0,0,0.703
0.208643,0.000592,0,0,0,0,0.231
0.650961,0.07519,0,0,0,0,0.813
0.399137,0.005028,0,0,0,0,0.463
0.374932,0.001142,0,0,0,0,0.503
0.474515,0.005996,0,0,0,0,0.669
0.632203,0.029385,0,0,0,0,0.788
0.600886,0.007853,0,0,0,0,0.475
0.206948,0.000632,0,0,0,0,0.325
0.408307,0.002727,0,0,0,0,0.563
0.147799,0.000425,0,0,0,0,0.294
0,0,0,0,0,0,0.528
0.573141,0.01259,0,0,0,0,0.644
0.439152,0.001718,0,0,0,0,0.413
0.464739,0.003096,0,0,0,0,0.475
0,0,0,0,0,0,0.238
0.327165,0.001639,0,0,0,0,0.494
0.373705,0.001894,0,0,0,0,0.531
0.444117,0.004003,0,0,0,0,0.594
0.220257,0.000429,0,0,0,0,0.181
0.708701,0.025974,0,0,0,0,0.672
0.439447,0.001715,0,0,0,0,0.8
0,0,0,0,0,0,0.388
0,0,0,0,0,0,0.516
0,0,0,0,0,0,0.225
0.643746,0.01875,0,0,0,0,0.888
0.631785,0.016863,0,0,0,0,0.688
0.401587,0.002817,0,0,0,0,0.494
0.37725,0.003622,0,0,0,0,0.388
0.247321,0.000498,0,0,0,0,0.288
0.505391,0.004124,0,0,0,0,0.763
0,0,0,0,0,0,0.648
0.695736,0.02521,0,0,0,0,0.844
0.496005,0.008907,0,0,0,0,0.75
0.571626,0.015376,0,0,0,0,0.859
0.13513,0.000427,0,0,0,0,0.634
0.622733,0.021417,0,0,0,0,0.778
0,0,0,0,0,0,0.738
0.671414,0.051079,0,0,0,0,0.85
0,0,0,0,0,0,0.831
0.394034,0.003055,0,0,0,0,0.713
0.534023,0.010567,0,0,0,0,0.647
0.484379,0.002985,0,0,0,0,0.338
0.591828,0.013483,0,0,0,0,0.713
0.646155,0.039844,0,0,0,0,0.789
0.317477,0.002822,0,0,0,0,0.597
0.434278,0.001647,0,0,0,0,0.703
0.535599,0.007955,0,0,0,0,0.769
0.527387,0.011014,0,0,0,0,0.747
0.383936,0.002373,0,0,0,0,0.747
0.566088,0.014543,0,0,0,0,0.834
0.71377,0.042718,0,0,0,0,0.87
0.465163,0.006044,0,0,0,0,0.781
0.475585,0.007884,0,0,0,0,0.57
0.425639,0.004115,0,0,0,0,0.634
0.556693,0.003906,0,0,0,0,0.836
0.553183,0.008608,0,0,0,0,0.394
0.515502,0.008638,0,0,0,0,0.716
0.355708,0.002009,0,0,0,0,0.563
0.581023,0.00838,0,0,0,0,0.753
0.66269,0.034751,0,0,0,0,0.831
0.696471,0.057525,0,0,0,0,0.881
0.519672,0.008252,0,0,0,0,0.625
0.812745,0.133833,0,0,0,0,0.83
0,0,0,0,0,0,0.525
0.667722,0.046125,0,0,0,0,0.853
0.434041,0.005589,0,0,0,0,0.688
0.741542,0.128194,0,0,0,0,0.772
0.381091,0.002809,0,0,0,0,0.375
0.170139,0.001064,0,0,0,0,0.369
0.586467,0.061484,0,0,0,0,0.744
0.559217,0.011121,0,0,0,0,0.641
0.148483,0.001007,0,0,0,0,0.263
0,0,0,0,0,0,0.319
0.425614,0.004924,0,0,0,0,0.469
0,0,0,0,0,0,0.675
0.535485,0.012218,0,0,0,0,0.731
0.341483,0.001272,0,0,0,0,0.575
0.315937,0.001118,0,0,0,0,0.347
0.726342,0.065378,0,0,0,0,0.556
0.656597,0.047599,0,0,0,0,0.783
0.498796,0.004644,0,0,0,0,0.531
0.359126,0.002208,0,0,0,0,0.681
0.615518,0.055248,0,0,0,0,0.759
0.447079,0.01144,0,0,0,0,0.719
0.355525,0.001872,0,0,0,0,0.438
0.568648,0.010969,0,0,0,0,0.653
0.254717,0.000178,0,0,0,0,0.619
0.704301,0.023669,0,0,0,0,0.769
0.682939,0.034602,0,0,0,0,0.834
0.278135,0.000794,0,0,0,0,0.625
0.2554,0.001408,0,0,0,0,0.378
