@relation labelRelatednessMeasurer

@attribute bestSenseRelatedness numeric
@attribute maxSenseRelatedness numeric
@attribute avgSenseRelatedness numeric
@attribute weightedAvgSenseRelatedness numeric
@attribute concatenationPriorLinkProbability numeric
@attribute concatenationOccurances numeric
@attribute relatedness numeric

@data
0.667302,0.776302,0.707699,0.698579,0,0,0.677
0.735609,0.7667,0.713046,0.708265,0,0,0.735
1,1,0.894237,0.894237,0,0,1
0.714353,0.714353,0.532613,0.609362,0,0,0.746
0.693411,0.717524,0.520584,0.518453,0.462745,5.648974,0.762
0.687194,0.687194,0.639847,0.650392,0,0,0.758
0.680392,0.680392,0.530188,0.527061,0,0,0.577
0.686657,0.742396,0.680258,0.682836,0.042553,5.594711,0.631
0.686834,0.748956,0.587641,0.605666,0.012821,4.382027,0.75
0.784091,0.784091,0.632239,0.664865,0,0,0.677
0.64983,0.64983,0.51979,0.555404,0,0,0.742
0.552764,1,0.664898,0.654499,0.235064,7.665285,0.685
0.816663,0.816663,0.816663,0.816663,0,0,0.619
0.765691,0.765691,0.765691,0.765691,0,0,0.592
0.732636,0.732636,0.655555,0.668555,0,0,0.7
0.656989,0.717557,0.659767,0.655413,0,0,0.662
0.562202,0.562202,0.562202,0.562202,0,0,0.681
0.720251,0.720251,0.574906,0.624577,0,0,0.708
0.586681,0.624121,0.538715,0.550965,0.172395,8.457868,0.808
0.340763,0.341231,0.340997,0.340935,0,0,0.131
0.526655,0.567251,0.546953,0.546896,0,0,0.092
0.718758,0.718758,0.61379,0.626409,0,0,0.181
0.579446,0.732488,0.561047,0.567275,0,0,0.669
0.700646,0.700646,0.580198,0.619133,0,0,0.746
0.700675,0.700675,0.700675,0.700675,0.086957,5.062595,0.812
0.571887,0.571887,0.571887,0.571887,0,0,0.773
0.707532,1,0.708405,0.708421,0,0,0.915
?,0,0,0,0,0,0.031
0.466983,0.480147,0.473565,0.472259,0,0,0.023
0.747812,1,0.600496,0.651868,0,0,0.858
0.691594,0.691594,0.575624,0.558939,0,0,0.592
0.515811,0.515811,0.464537,0.47372,0,0,0.669
0.781758,0.781758,0.604879,0.648338,0,0,0.846
0.750409,0.780204,0.669094,0.701604,0,0,0.765
0.522227,0.624473,0.515651,0.53767,0,0,0.162
0.617246,0.67534,0.625393,0.625999,0,0,0.944
0.581357,0.652489,0.474478,0.487268,0,0,0.862
1,1,0.77363,0.831063,0.179487,3.713572,0.903
0.638827,0.776963,0.585367,0.609544,0,0,0.681
0.639602,0.700109,0.590544,0.598987,0.75,1.609438,0.663
0.642927,0.642927,0.565199,0.569101,0.246154,4.962845,0.756
0.546602,0.713049,0.573724,0.572444,0,0,0.673
0.693618,0.693618,0.565208,0.576971,0,0,0.765
0.452607,0.452607,0.452607,0.452607,0,0,0.25
0.714898,0.714898,0.714898,0.714898,0,0,0.838
0.567084,0.567084,0.475409,0.44697,0.095532,7.273093,0.738
0.43394,0.43394,0.43394,0.43394,0,0,0.619
0.500936,0.590943,0.483942,0.486291,0.068826,5.560682,0.673
0.576713,0.756314,0.641896,0.659846,0.209388,8.061802,0.792
0.655922,0.655922,0.655922,0.655922,0,0,0.812
0.809498,0.809498,0.809498,0.809498,0,0,0.735
0.568216,0.568216,0.496331,0.504457,0,0,0.488
0.60971,0.60971,0.53231,0.543167,0,0,0.554
0.833532,0.833532,0.682756,0.730408,0,0,0.846
0.821116,0.821116,0.821116,0.821116,0,0,0.813
0.490164,0.513955,0.465225,0.467979,0,0,0.304
0.526509,0.717504,0.538408,0.504015,0,0,0.131
0.569063,0.697511,0.531526,0.540009,0,0,0.596
1,1,0.802432,0.863545,0,0,0.894
1,1,0.749343,0.787484,0,0,0.896
0.762412,0.762412,0.554358,0.623241,0,0,0.91
1,1,0.717993,0.736876,0,0,0.887
1,1,0.711016,0.747764,0,0,0.902
0.753413,0.753413,0.672866,0.711902,0,0,0.879
0.693304,0.693304,0.635023,0.653129,0,0,0.752
0.521318,0.610621,0.481605,0.485182,0,0,0.71
0.634036,0.634036,0.61123,0.614672,0,0,0.738
0.512995,0.538373,0.511099,0.504951,0,0,0.5
0.499233,0.499233,0.499233,0.499233,0,0,0.208
0.515727,0.671492,0.575832,0.5623,0,0,0.442
0.669444,0.669444,0.532494,0.564361,0,0,0.438
0.479184,0.479184,0.445985,0.456362,0,0,0.185
0.5527,0.638542,0.595621,0.581753,0,0,0.308
0.526975,0.526975,0.479175,0.49477,0,0,0.092
0.583903,0.583903,0.475121,0.509077,0,0,0.315
?,0,0,0,0,0,0.054
0.431285,0.473437,0.456785,0.452547,0,0,0.208
0.560816,0.560816,0.469132,0.520753,0,0,0.054
0.665383,0.665383,0.578667,0.590366,0,0,0.842
0.707532,1,0.708405,0.708421,0,0,0.908
0.786948,0.786948,0.786948,0.786948,0,0,0.904
0.742312,0.742312,0.720809,0.727568,0,0,0.827
0.709437,0.709437,0.607417,0.62102,0,0,0.757
0.569303,0.698066,0.654673,0.649812,0,0,0.729
0.700675,0.700675,0.700675,0.700675,0,0,0.85
0.757759,0.757759,0.664269,0.675203,0,0,0.773
0.556282,0.556282,0.556282,0.556282,0,0,0.688
0.607573,0.607573,0.607573,0.607573,0.475129,7.90581,0.565
0.779923,0.779923,0.689471,0.722143,0,0,0.8
0.7667,0.7667,0.691871,0.7193,0,0,0.8
0.690551,0.690551,0.667285,0.66853,0,0,0.708
0.647209,0.647876,0.647542,0.647441,0,0,0.685
0.652104,0.652104,0.597009,0.613677,0,0,0.7
0.532127,0.532127,0.499034,0.509045,0,0,0.477
0.662233,0.662233,0.634556,0.642929,0,0,0.562
0.781183,0.781183,0.771104,0.774153,0,0,0.587
0.728521,0.728521,0.728521,0.728521,0,0,0.808
0.668158,0.668158,0.644303,0.651911,0,0,0.7
0.659123,0.659123,0.612997,0.623446,0,0,0.685
0.650172,0.650172,0.55705,0.569893,0,0,0.742
0.577976,0.577976,0.577976,0.577976,0,0,0.658
0.568422,0.643572,0.577453,0.575818,0,0,0.642
0.731628,0.731628,0.731628,0.731628,0,0,0.821
0.70602,0.70602,0.693403,0.697188,0,0,0.769
0.655115,0.655115,0.560269,0.580124,0,0,0.723
0.728715,0.728715,0.728715,0.728715,0,0,0.671
0.57342,0.615974,0.545121,0.548248,0,0,0.558
